,0,1,0,1,0,1
86,물,NNG,들,XSN,.,Punctuation
87,치,NNB,은,JX,진정해,Adjective
88,해수욕장,NNP,금새,NNG,;;,Punctuation
89,』,SS,라도,VCP+EC,이미,Adverb
90,바다,NNG,바다,NNG,차,Noun
91,를,JKO,로,JKB,에서,Josa
92,보,VV,들어갈,VV+ETM,내리자마자,Verb
93,고,EC,듯,NNB,어디,Noun
94,신나,VV,흥분,NNG,론,Noun
95,ㄴ,ETM,상태,NNG,가,Josa
96,아이들,NNP,@@,SY,없어진,Verb
97,은,JX,추워,VA+EF,아들,Noun
98,금새,MAG,얘,NP,콩알,Noun
99,이,VCP,들,XSN,이,Josa
100,라도,EC,아,JKV,;;,Punctuation
101,바다,NNG,.,SF,갈매기,Noun
102,로,JKB,진정,NNG,를,Josa
103,들어가,VV,해,XSV+EC,따라,Verb
104,ㄹ,ETM,;;,SY,가셨겠지,Verb
105,듯,NNB,이미,MAG,...,Punctuation
106,흥분,NNG,차,NNG,벌써,Noun
107,상태,NNG,에서,JKB,모래,Noun
108,@,SW,내리,VV,를,Josa
109,@,SW,자마자,EC,만지작,Adverb
110,춥,VA,어디,NP,.,Punctuation
111,어,EC,론가,JKB+VCP+EC,만지작,Adverb
112,얘,NP,없,VA,.,Punctuation
113,들,XSN,어,EC,놀아라,Verb
114,아,JKV,진,VX+ETM,놀아,Verb
115,.,SF,아들,NNG,씻으면,Verb
116,진정,XR,콩알,NNG,되지,Verb
117,하,XSA,이,JKS,나,Noun
118,아,EC,;;,SY,는,Josa
119,;,SP,갈매기,NNG,아이,Noun
120,;,SP,를,JKO,들,Suffix
121,이미,MAG,따라,VV+EC,과,Josa
122,차,NNG,가,VX,집,Noun
123,에서,JKB,셨,EP+EP,에서,Josa
124,내리,VV,겠,EP,미술,Noun
125,자마자,EC,지,EF,놀이,Suffix
126,어디,NP,.,SF,를,Josa
127,론,XSN,..,SY,할,Verb
128,가,XSN,벌써,MAG,수,Noun
129,없,VA,모래,NNG,있는,Adjective
130,어,EC,를,JKO,여러,Noun
131,지,VX,만지작,MAG,재료,Noun
132,ㄴ,ETM,.,SF,들,Suffix
133,아들,NNG,만지작,MAG,을,Josa
134,콩알,NNG,.,SF,수집,Noun
135,이,JKS,놀,VV,해,Noun
136,;,SP,아라,EC,봤다,Verb
137,;,SP,놀,VV,.,Punctuation
138,갈매기,NNP,아,EC,특히,Adverb
139,를,JKO,씻,VV,나,Noun
140,따르,VV,으면,EC,이,Determiner
141,아,EC,되,VV,곳,Noun
142,가시,VV,지,EC,에는,Josa
143,었,EP,나,VX,예쁜,Adjective
144,겠,EP,는,ETM,돌,Noun
145,지,EC,아이,NNG,과,Josa
146,...,SE,들,XSN,조개,Noun
147,벌써,MAG,과,JC,껍데기,Noun
148,모래,NNG,집,NNG,가,Josa
149,를,JKO,에서,JKB,많았고,Adjective
150,만지,NNP,미술,NNG,제법,Noun
151,작,NNG,놀이,NNG,많은,Adjective
152,.,SF,를,JKO,양,Noun
153,만지,NNP,할,VV+ETM,을,Josa
154,작,NNG,수,NNB,골라,Verb
155,.,SF,있,VV,왔다,Verb
156,놀,VV,는,ETM,.,Punctuation
157,아라,EC,여러,MM,어쩜,Noun
158,놀,VV,재료,NNG,이리,Adverb
159,아,EC,들,XSN,고울까,Adjective
160,씻,VV,을,JKO,..,Punctuation
161,으면,EC,수집,NNG,색,Noun
162,되,VV,해,XSV+EC,이며,Josa
163,지,EC,봤,VX+EP,모양,Noun
164,나,NP,다,EF,이며,Josa
165,는,JX,.,SF,..,Punctuation
166,아이들,NNP,특히,MAG,보들보들한,Adjective
167,과,JC,나,JX,아가,Noun
168,집,NNG,이곳,NP,손,Noun
169,에서,JKB,에,JKB,으로,Josa
170,미술,NNP,는,JX,감싸니,Verb
171,놀이,NNP,예쁜,VA+ETM,..,Punctuation
172,를,JKO,돌,NNG,따뜻해지는,Adjective
173,하,VV,과,JC,온기,Noun
174,ㄹ,ETM,조개껍데기,NNG,가,Josa
175,수,NNB,가,JKS,느껴졌다,Verb
176,있,VX,많,VA,.,Punctuation
177,는,ETM,았,EP,우리,Noun
178,여러,MM,고,EC,세,Modifier
179,재료,NNG,제법,MAG,아가,Noun
180,들,XSN,많,VA,들,Suffix
181,을,JKO,은,ETM,.,Punctuation
182,수집,NNP,양,NNG,그리고,Conjunction
183,하,VV,을,JKO,우리,Noun
184,아,EC,골라,VV+EC,둘,Noun
185,보,VV,왔,VX+EP,.,Punctuation
186,았,EP,다,EF,아프지,Adjective
187,다,EF,.,SF,않게,Verb
188,.,SF,어쩜,IC,좋은,Adjective
189,특히,MAG,이리,MAG,일,Noun
190,나,JX,고울까,VA+EF,.,Punctuation
191,이곳,NP,.,SF,행복한,Adjective
192,에,JKB,.,SY,일만,Noun
193,는,JX,색,NNG,생기길,Verb
194,예쁘,VA,이,VCP,..,Punctuation
195,ㄴ,ETM,며,EC,바다,Noun
196,돌,NNG,모양,NNG,를,Josa
197,과,JC,이,VCP,향,Noun
198,조개껍데기,NNG,며,EC,해,Verb
199,가,JKS,.,SF,돌,Noun
200,많,VA,.,SY,에게,Josa
201,았,EP,보들보들,MAG,빌어,Noun
202,고,EC,한,MM,본,Verb
203,제법,MAG,아가,NNG,.,Punctuation
204,많,VA,손,NNG,멀리,Noun
205,은,ETM,으로,JKB,빨간,Adjective
206,양,NNG,감싸,VV,등대,Noun
207,을,JKO,니,EF,와,Josa
208,고르,VV,.,SF,하얀,Adjective
209,아,EC,.,SY,등대,Noun
210,오,VX,따뜻,XR,가,Josa
211,았,EP,해,XSA+EC,보이,Noun
212,다,EF,지,VX,고,Josa
213,.,SF,는,ETM,..,Punctuation
214,어쩜,MAG,온기,NNG,이,Noun
215,이리,MAG,가,JKS,등대,Noun
216,곱,VA,느껴졌,VV+EC+VX+EP,들,Suffix
217,ㄹ까,EF,다,EF,도,Josa
218,.,SF,.,SF,이름,Noun
219,.,SF,우리,NP,이,Josa
220,색,NNG,세,MM,있다,Adjective
221,이,VCP,아가,NNG,.,Punctuation
222,며,EC,들,XSN,빨간,Adjective
223,모양,NNG,.,SF,송이,Noun
224,이,VCP,그리고,MAJ,등대,Noun
225,며,EF,우리,NP,하얀,Adjective
226,.,SF,둘,NR,송이,Noun
227,.,SF,.,SF,등대,Noun
228,보,NNB,아프,VA,송이,Noun
229,들보,NNP,지,EC,버섯,Noun
230,들,XSN,않,VX,을,Josa
231,하,XSV,게,EC,닮아,Verb
232,ㄴ,ETM,좋,VA,붙혀진,Verb
233,아가,NNP,은,ETM,이름,Noun
234,손,NNG,일,NNG,이라고,Josa
235,으로,JKB,.,SY,한다,Verb
236,감싸,VV,행복,NNG,.,Punctuation
237,니,EF,한,XSA+ETM,넘나,Verb
238,.,SF,일,NNG,이쁜것,Adjective
239,.,SF,만,JX,하얀,Adjective
240,따뜻,XR,생기,VV,송이,Noun
241,하,XSA,길,ETN+JKO,등대,Noun
242,아,EC,.,SF,까지는,Josa
243,지,VX,.,SY,거리,Noun
244,는,ETM,바다,NNG,가,Josa
245,온기,NNG,를,JKO,가까웠고,Adjective
246,가,JKS,향해,VV+EC,",",Punctuation
247,느끼,VV,돌,NNG,낚시,Noun
248,어,EC,에게,JKB,하시는,Verb
249,지,VX,빌,VV,분,Noun
250,었,EP,어,EC,들,Suffix
251,다,EF,본,VX+ETM,이,Josa
252,.,SF,.,SF,많아,Adjective
253,우리,NP,멀리,MAG,빨간,Adjective
254,세,MM,빨간,VA+ETM,송이,Noun
255,아가,NNP,등대,NNG,등대,Noun
256,들,XSN,와,JKB,로,Josa
257,.,SF,하얀,VA+ETM,가보기,Verb
258,그리고,MAJ,등대,NNG,.,Punctuation
259,우리,NP,가,JKS,가는,Verb
260,둘,NR,보이,VV,길,Noun
261,.,SF,고,EC,에,Josa
262,아프,VA,.,SF,보이는,Verb
263,지,EC,.,SY,물치항,Noun
264,않,VX,이,MM,회,Noun
265,게,EC,등대,NNG,센터,Noun
266,좋,VA,들,XSN,오늘,Noun
267,은,ETM,도,JX,점심,Noun
268,일,NNB,이름,NNG,은,Josa
269,.,SF,이,JKS,저기,Noun
270,행복,NNG,있,VA,다,Josa
271,하,XSV,다,EF,블로그,Noun
272,ㄴ,ETM,.,SF,를,Josa
273,일,NNB,빨간,VA+ETM,수,Modifier
274,만,JX,송이,NNG,소문,Noun
275,생기,VV,등대,NNG,해,Noun
276,기,ETN,하,XSV,보니,Verb
277,ㄹ,JKO,얀,EC,가성,Noun
278,.,SF,송이,NNG,비,Noun
279,.,SF,등,NNB,좋다는,Adjective
280,바다,NNG,대,XPN,글,Noun
281,를,JKO,송이,NNG,이,Josa
282,향하,VV,버섯,NNG,있었고,Adjective
283,아,EC,을,JKO,..,Punctuation
284,돌,NNG,닮,VV,사실,Noun
285,에게,JKB,아,EC,",",Punctuation
286,빌어,NNP,붙혀,VV+EC,유명한,Adjective
287,본,NNG,진,VX+ETM,대포항,Noun
288,.,SF,이름,NNG,..,Punctuation
289,멀리,MAG,이,VCP,등등,Noun
290,빨갛,VA,라고,EC,많지만,Adjective
291,ㄴ,ETM,한다,VX+EF,가격,Noun
292,등대,NNP,.,SF,이,Josa
293,와,JC,넘,VV,사악하거나,Adjective
294,하얗,VA,나,EC,낚시질,Noun
295,ㄴ,ETM,이쁜,VA+ETM,당,Modifier
296,등대,NNP,것,NNB,한적,Noun
297,가,JKS,하얀,VA+ETM,이,Josa
298,보이,VV,송이,NNG,많아서,Adjective
299,고,EF,등대,NNG,..,Punctuation
300,.,SF,까지,JX,별로,Noun
301,.,SF,는,JX,가고,Verb
302,이,MM,거리,NNG,싶지,Verb
303,등대,NNP,가,JKS,않은데,Verb
304,들,XSN,가까웠,VA+EP,이,Noun
305,도,JX,고,EC,곳,Noun
306,이름,NNG,",",SC,을,Josa
307,이,JKS,낚시,NNG,얼떨결,Noun
308,있,VX,하,XSV,에,Josa
309,다,EF,시,EP,지나가다,Verb
310,.,SF,는,ETM,보게,Verb
311,빨갛,VA,분,NNB,되니,Verb
312,ㄴ,ETM,들,XSN,참으로,Noun
313,송이,NNP,이,JKS,반가운,Adjective
314,등대,NNP,많,VA,마음,Noun
315,하얗,VA,아,EC,..,Punctuation
316,ㄴ,ETM,빨간,VA+ETM,그렇게,Adverb
317,송이,NNP,송이,NNG,멀리,Noun
318,등대,NNP,등,NNB,보이는,Verb
319,송이,NNP,대로,JKB,빨간,Adjective
320,버섯,NNP,가,VV+EC,등대,Noun
321,을,JKO,보,VX,를,Josa
322,닮,VV,기,ETN,향,Noun
323,아,EC,.,SF,해,Verb
324,붙,VV,가,VV,풍경,Noun
325,혀,VV,는,ETM,을,Josa
326,지,EC,길,NNG,벗,Noun
327,ㄴ,JX,에,JKB,삼아,Verb
328,이름,NNG,보이,VV,걷기,Noun
329,이,VCP,는,ETM,힘들다는,Adjective
330,라고,EC,물치항,NNP,두,Determiner
331,하,VX,회,NNG,딸,Noun
332,ㄴ다,EF,센터,NNG,을,Josa
333,.,SF,오늘,NNG,등,Noun
334,넘,VV,점심,NNG,에,Josa
335,나,EC,은,JX,업고,Verb
336,이쁘,VA,저기,NP,떠나는,Verb
337,ㄴ,ETM,다,JX,아버지,Noun
338,것,NNB,블로그,NNG,는,Josa
339,하얗,VA,를,JKO,대단하지요,Adjective
340,ㄴ,ETM,수소문,NNG,..,Punctuation
341,송이,NNP,해,XSV+EC,체력,Noun
342,등대,NNP,보,VX,좋은,Adjective
343,까지,JX,니,EC,아들,Noun
344,는,JX,가,JKS,은,Josa
345,거리,NNG,성비,NNG,이미,Adverb
346,가,JKS,좋,VA,등대,Noun
347,가깝,VA,다는,ETM,앞,Noun
348,었,EP,글,NNG,에서,Josa
349,고,EC,이,JKS,우리,Noun
350,",",SP,있,VA,를,Josa
351,낚시,NNG,었,EP,기다린다는,Verb
352,하,XSV,고,EC,사실,Noun
353,시,EP,.,SF,..,Punctuation
354,는,ETM,.,SY,나이,Noun
355,분,NNB,사실,MAG,가,Josa
356,들,XSN,",",SC,아닌,Adjective
357,이,JKS,유명,NNG,체력,Noun
358,많,VA,한,MM,이,Josa
359,아,EC,대,NNBC,..,Punctuation
360,빨갛,VA,포항,NNP,그냥,Noun
361,ㄴ,ETM,.,SF,좋다는,Adjective
362,송이,NNP,.,SY,사실,Noun
363,등,NNB,등등,NNB,.,Punctuation
364,대로,JX,많,VA,빨간,Adjective
365,가,XPN,지만,EC,등대,Noun
366,보기,NNP,가격,NNG,가,Josa
367,.,SF,이,JKS,보이,Noun
368,가,VV,사악,XR,고,Josa
369,는,ETM,하,XSA,..,Punctuation
370,길,NNG,거나,EC,곳곳,Noun
371,에,JKB,낚시질,NNG,에는,Josa
372,보이,VV,당한,XSV+ETM,낚시,Noun
373,는,ETM,적,NNB,를,Josa
374,물치항,NNP,이,JKS,하는,Verb
375,회,NNB,많,VA,사람,Noun
376,센터,NNP,아서,EC,들,Suffix
377,오늘,NNG,.,SF,이,Josa
378,점심,NNG,.,SY,많아서,Adjective
379,은,JX,별로,MAG,사진,Noun
380,저기,NP,가,VV,을,Josa
381,다,JX,고,EC,찍으려,Verb
382,블로그,NNP,싶,VX,하면,Verb
383,를,JKO,지,EC,자꾸,Noun
384,수소문,NNG,않,VX,보이는,Verb
385,하,VV,은데,EC,낯선,Noun
386,아,EC,이,MM,사람,Noun
387,보니,NNP,곳,NNG,들,Suffix
388,가,XPN,을,JKO,.,Punctuation
389,성비,NNP,얼떨결,NNG,결국,Adverb
390,좋,VA,에,JKB,셀카,Noun
391,다는,ETM,지나가,VV,봉,Noun
392,글,NNG,다,EC,으로,Josa
393,이,JKS,보,VX,빠르게,Adjective
394,있,VX,게,EC,찍었당,Verb
395,었,EP,되,VV,귀,Modifier
396,고,EF,니,EC,욥,Noun
397,.,SF,참으로,MAG,게,Josa
398,.,SF,반가운,VA+ETM,메,Noun
399,사실,NNG,마음,NNG,롱샷,Noun
400,",",SP,.,SF,으로,Josa
401,유명,XR,.,SY,찍은,Verb
402,하,XSA,그렇게,MAG,5,Number
403,ㄴ,ETM,멀리,MAG,인,Noun
404,대포항,NNP,보이,VV,가족,Noun
405,..,SE,는,ETM,카메라,Noun
406,등등,NNB,빨간,VA+ETM,가,Josa
407,많,VA,등대,NNG,늘,Noun
408,지만,EC,를,JKO,꽉차는,Verb
409,가격,NNG,향해,VV+EC,우리,Noun
410,이,JKS,풍경,NNG,..;;,Punctuation
411,사악,NNG,을,JKO,가족사진,Noun
412,하,XSV,벗,NNG,대,Modifier
413,거나,EC,삼,VV,방출,Noun
414,낚시,NNG,아,EC,이네,Josa
415,질,XSN,걷,VV,..;;,Punctuation
416,당하,XSV,기,ETN,이제,Noun
417,ㄴ,ETM,힘들,VA,회,Noun
418,적,XSN,다는,ETM,를,Josa
419,이,JKS,두,MM,좀,Noun
420,많,VA,딸,NNG,보자구요,Verb
421,아서,EF,을,JKO,..,Punctuation
422,.,SF,등,NNG,빨간,Adjective
423,.,SF,에,JKB,송이,Noun
424,별로,MAG,업,VV,등대,Noun
425,가,VV,고,EC,로,Josa
426,고,EC,떠나,VV,가는,Verb
427,싶,VX,는,ETM,초입,Noun
428,지,EC,아버지,NNG,길,Noun
429,않,VX,는,JX,에,Josa
430,은데,EC,대단,XR,연결,Noun
431,이,MM,하,XSA,되어있는,Verb
432,곳,NNG,지요,EF,회,Noun
433,을,JKO,.,SF,센터,Noun
434,얼떨결,NNG,.,SY,.,Punctuation
435,에,JKB,체력,NNG,대포항,Noun
436,지나가,VV,좋,VA,처럼,Noun
437,다,EC,은,ETM,엄청,Adverb
438,보,VV,아들,NNG,큰,Verb
439,게,EC,은,JX,회,Noun
440,되,VV,이미,MAG,센터,Noun
441,니,EC,등대,NNG,는,Josa
442,참으로,MAG,앞,NNG,아니지만,Adjective
443,반갑,VA,에서,JKB,1,Number
444,ㄴ,ETM,우리,NP,층,Noun
445,마음,NNG,를,JKO,2,Number
446,.,SF,기다린다,VV+EC,층,Noun
447,.,SF,는,JX,으로,Josa
448,그렇,VA,사실,MAG,포장,Noun
449,게,EC,.,SF,도,Josa
450,멀리,MAG,.,SY,되고,Verb
451,보이,VV,나이,NNG,바다,Noun
452,는,ETM,가,JKC,전망,Noun
453,빨갛,VA,아닌,VCN+ETM,으로,Josa
454,ㄴ,ETM,체력,NNG,회,Noun
455,등대,NNP,이,JKS,를,Josa
456,를,JKO,.,SF,떠서,Verb
457,향하,VV,.,SY,바로,Noun
458,아,EC,그냥,MAG,맛,Noun
459,풍경,NNG,좋,VA,볼,Noun
460,을,JKO,다는,ETM,수도,Noun
461,벗,NNG,사실,MAG,있다,Adjective
462,삼,VV,.,SF,.,Punctuation
463,아,EC,빨간,VA+ETM,우리,Noun
464,걷기,NNP,등대,NNG,는,Josa
465,힘들,VA,가,JKS,입실,Noun
466,다는,ETM,보이,VV,시간,Noun
467,두,MM,고,EC,이,Josa
468,딸,NNG,.,SF,되어,Verb
469,을,JKO,.,SY,회,Noun
470,등,NNB,곳곳,NNG,를,Josa
471,에,JKB,에,JKB,포장,Noun
472,업,VV,는,JX,해서,Verb
473,고,EC,낚시,NNG,가기,Noun
474,떠나,VV,를,JKO,로,Josa
475,는,ETM,하,VV,했다,Verb
476,아버지,NNG,는,ETM,.,Punctuation
477,는,JX,사람,NNG,2,Number
478,대단,XR,들,XSN,층,Noun
479,하,XSA,이,JKS,연희,Noun
480,지요,EF,많,VA,네,Determiner
481,.,SF,아서,EC,횟집,Noun
482,.,SF,사진,NNG,010-7671,Number
483,체력,NNP,을,JKO,-,Punctuation
484,좋,VA,찍,VV,5610/033,Number
485,은,ETM,으려,EC,-,Punctuation
486,아들,NNG,하,VV,671-2649,Number
487,은,JX,면,EC,싱싱해,Adjective
488,이미,MAG,자꾸,MAG,보이는,Verb
489,등대,NNP,보이,VV,횟감,Noun
490,앞,NNG,는,ETM,.,Punctuation
491,에서,JKB,낯선,VA+ETM,우리,Noun
492,우리,NP,사람,NNG,는,Josa
493,를,JKO,들,XSN,우럭,Noun
494,기다리,VV,.,SF,中,Foreign
495,ㄴ다는,ETM,결국,MAG,+,Punctuation
496,사실,NNG,셀카,NNG,광어,Noun
497,.,SF,봉,NNG,中,Foreign
498,.,SF,으로,JKB,+,Punctuation
499,나이,NNG,빠르,VA,오징어,Noun
500,가,JKS,게,EC,1,Number
501,아니,VCN,찍,VV,+,Punctuation
502,ㄴ,ETM,었,EP,멍게,Noun
503,체력,NNP,당,XSN,2,Number
504,이,JKS,귀,NNG,+,Punctuation
505,..,SE,욥,NNG,쥐치,Noun
506,그냥,MAG,게,NNB+JKS,1,Number
507,좋,VA,메롱,IC,이렇게,Adverb
508,다는,ETM,샷,NNG,포장,Noun
509,사실,NNG,으로,JKB,을,Josa
510,.,SF,찍,VV,해서,Verb
511,빨갛,VA,은,ETM,5만원,Number
512,ㄴ,ETM,5,SN,.,Punctuation
513,등대,NNP,인,NNG,횟집,Noun
514,가,JKS,가족,NNG,에서,Josa
515,보이,VV,카메라,NNG,포장,Noun
516,고,EF,가,JKS,해,Verb
517,.,SF,늘,MAG,오는것,Verb
518,.,SF,꽉,MAG,보다,Verb
519,곳곳,NNG,차,NNG,싸다,Verb
520,에,JKB,는,JX,둘,Noun
521,는,JX,우리,NP,이,Josa
522,낚시,NNG,.,SF,먹는데,Verb
523,를,JKO,.;;,SY,양,Noun
524,하,VV,가족,NNG,이,Josa
525,는,ETM,사진,NNG,많아서,Adjective
526,사람,NNG,대,XPN,남았다는,Verb
527,들,XSN,방출,NNG,..;;,Punctuation
528,이,JKS,이,VCP,성인,Noun
529,많,VA,네,EF,3,Number
530,아서,EC,.,SF,명,Noun
531,사진,NNG,.;;,SY,배,Noun
532,을,JKO,이제,MAG,불리,Noun
533,찍,VV,회,NNG,먹을,Verb
534,으려,EC,를,JKO,수,Noun
535,하,VX,좀,MAG,있는,Adjective
536,면,EC,보,VV,양,Noun
537,자꾸,MAG,자구요,EF,이다,Josa
538,보이,VV,.,SF,.,Punctuation
539,는,ETM,.,SY,가성,Noun
540,낯선 사람,NNP,빨간,VA+ETM,비,Noun
541,들,XSN,송이,NNG,좋구요,Adjective
542,.,SF,등,NNB,맛,Noun
543,결국,MAG,대로,JKB,만,Josa
544,셀카봉,NNP,가,VV,있음,Adjective
545,으로,JKB,는,ETM,100,Number
546,빠르,VA,초입,NNG,점,Noun
547,게,EC,길,NNG,만점,Noun
548,찍,VV,에,JKB,.,Punctuation
549,었,EP,연결,NNG,쌈,Noun
550,당,NNG,되,XSV,을,Josa
551,귀,NNG,어,EC,3천원,Number
552,욥,NNP,있,VX,에,Foreign
553,게,NNG,는,ETM,추가,Noun
554,메,NNG,회,NNG,로,Noun
555,롱샷,NNP,센터,NNG,사왔는데,Verb
556,으로,JKB,.,SY,쌈,Noun
557,찍,VV,대포항,NNP,조차도,Josa
558,은,ETM,처럼,JKB,너무,Adverb
559,5,SN,엄청,MAG,신선하고,Adjective
560,이,VCP,큰,VA+ETM,맘,Noun
561,ㄴ,ETM,회,NNG,에,Josa
562,가족,NNG,센터,NNG,들었다는,Verb
563,카메라,NNG,는,JX,그렇게,Adverb
564,가,JKS,아니,VCN,우리,Noun
565,늘,MAG,지만,EC,의,Josa
566,꽉,MAG,1,SN,두번째,Noun
567,차,VV,층,NNG,밤,Noun
568,는,ETM,2,SN,.,Punctuation
569,우리,NP,층,NNG,롯데,Noun
570,..,SE,으로,JKB,리조트,Noun
571,;,SP,포장,NNG,속초,Noun
572,;,SP,도,JX,에서,Josa
573,가족사진,NNP,되,VV,.,Punctuation
574,대,XPN,고,EC,(,Punctuation
575,방출,NNG,바다,NNG,롯데,Noun
576,이,VCP,전망,NNG,리조트,Noun
577,네,EF,으로,JKB,포스팅,Noun
578,.,SF,회,NNG,은,Josa
579,.,SF,를,JKO,▼,Foreign
580,;,SP,떠서,VV+EC,참고,Noun
581,;,SP,바로,MAG,),Punctuation
582,이제,MAG,맛,NNG,체크,Noun
583,회,NNB,볼,VV+ETM,인,Josa
584,를,JKO,수,NNB,후,Noun
585,좀,MAG,도,JX,회,Noun
586,보,VX,있,VA,를,Josa
587,자구요,EF,다,EF,먹기,Noun
588,.,SF,.,SF,위해,Noun
589,.,SF,우리,NP,식탁,Noun
590,빨갛,VA,는,JX,셋팅,Noun
591,ㄴ,ETM,입실,NNG,침,Noun
592,송이,NNP,시간,NNG,흘리며,Verb
593,등,NNB,이,JKS,셋팅,Noun
594,대로,JX,되,VV,을,Josa
595,가,VV,어,EC,했다,Verb
596,는,ETM,회,NNG,.,Punctuation
597,초입,NNG,를,JKO,하하,Noun
598,길,NNG,포장,NNG,하,Suffix
599,에,JKB,해서,XSV+EC,.,Punctuation
600,연결,NNG,가,VX,아이,Noun
601,되,XSV,기,ETN,들,Suffix
602,어,EC,로,JKB,밥,Noun
603,있,VX,했,VV+EP,따윈,Noun
604,는,ETM,다,EF,중요,Noun
605,회,NNB,.,SF,치,Noun
606,센터,NNP,2,SN,않을,Verb
607,.,SF,층,NNG,정도,Noun
608,대포항,NNP,연희,NNP,로,Josa
609,처럼,JKB,네,XSN,내,Noun
610,엄청,MAG,횟집,NNG,가,Josa
611,크,VA,010,SN,좋아하는,Adjective
612,ㄴ,ETM,-,SY,멍게,Noun
613,회,NNB,7671,SN,는,Josa
614,센터,NNP,-,SY,진짜,Noun
615,는,JX,5610,SN,..,Punctuation
616,아니,VCN,/,SC,모든,Noun
617,지만,EC,033,SN,회,Noun
618,1,SN,-,SY,가,Josa
619,층,NNG,671,SN,다,Adverb
620,2,SN,-,SY,쫄깃,Noun
621,층,XSN,2649,SN,하고,Josa
622,으로,JKB,싱싱,XR,부드러웠으며,Adjective
623,포장,NNP,해,XSA+EC,싱싱했다,Adjective
624,도,JX,보이,VV,.,Punctuation
625,되,VV,는,ETM,쥐치,Noun
626,고,EC,횟감,NNG,는,Josa
